question,answer,locale
What final expense life insurance does Aetna offer through Mejor Vida?,"Through Aetna Senior Supplemental, Julie can quote two final expense whole life options: Accendo Final Expense (Accendo Insurance Company) and Protection Series Final Expense (Continental Life / CLI). Both are no-exam products for applicants who qualify. Available to quote in Nebraska, Kansas, Colorado, and Nevada. Aetna’s portal life lineup is final expense whole life only — not term, GUL, or IUL.",en
¿Qué seguro de gastos finales ofrece Aetna a través de Mejor Vida?,"A través de Aetna Senior Supplemental, Julie puede cotizar dos opciones de vida entera para gastos finales: Accendo Final Expense (Accendo Insurance Company) y Protection Series Final Expense (Continental Life / CLI). Ambas sin examen médico para quienes califiquen. Disponibles en Nebraska, Kansas, Colorado y Nevada. En este portal Aetna, vida = solo gastos finales (no temporal, GUL ni IUL).",es
What are Accendo Final Expense issue ages and face amounts?,"Accendo Final Expense (Accendo Insurance Company, NAIC #63444): Level plan ages 40–89 with face amounts from $2,000 up to age-banded maximums of $50,000 (ages 40–55), $40,000 (56–65), $30,000 (66–75), or $25,000 (76–89). Modified plan ages 40–75 with faces $2,000–$25,000. Annual policy fee $40. Level pays full benefit from issue; Modified pays accidental full immediately and typically 110% of earned premiums for non-accidental death in years 1–2, then full from year 3.",en
¿Cuáles son las edades y montos de Accendo Final Expense?,"Accendo Final Expense (Accendo Insurance Company, NAIC #63444): Plan Nivelado edades 40–89, montos desde $2,000 hasta máximos por edad de $50,000 (40–55), $40,000 (56–65), $30,000 (66–75) o $25,000 (76–89). Plan Modificado edades 40–75, montos $2,000–$25,000. Cargo anual de póliza $40. Nivelado paga el beneficio completo desde la emisión; Modificado paga accidental completo de inmediato y generalmente 110% de primas ganadas en años 1–2 por muerte no accidental, completo desde el año 3.",es
What is Aetna Protection Series Final Expense?,"Protection Series Final Expense is whole life underwritten by Continental Life Insurance Company of Brentwood, Tennessee (CLI). Issue ages 45–89, Level death benefits only, face amounts $2,000–$50,000 (max by age). Riders listed: accidental death and children’s term. Super Preferred rates may be available. Available for Julie’s clients in Nebraska, Kansas, Colorado, and Nevada.",en
¿Qué es Protection Series Final Expense de Aetna?,"Protection Series Final Expense es vida entera emitida por Continental Life Insurance Company of Brentwood, Tennessee (CLI). Edades 45–89, solo beneficios Nivelados, montos $2,000–$50,000 (máximo según edad). Anexos: muerte accidental y temporal para hijos. Puede haber tarifa Super Preferred. Disponible para clientes de Julie en Nebraska, Kansas, Colorado y Nevada.",es
Does Aetna final expense require a medical exam?,"No medical exam is required for Accendo Final Expense or Protection Series Final Expense when the applicant qualifies. Underwriting uses health questions and database review; Julie confirms what applies for your situation.",en
¿El seguro de gastos finales de Aetna requiere examen médico?,"No se requiere examen médico para Accendo Final Expense ni Protection Series Final Expense cuando el solicitante califica. La suscripción usa preguntas de salud y revisión de bases de datos; Julie confirma qué aplica en su caso.",es
What riders does Accendo Level Final Expense offer?,"Accendo Level plan riders typically include: accelerated death benefit (up to 50% subject to caps/fees for qualifying terminal/chronic/critical illness with life expectancy of 12 months or less), accidental death benefit (typical issue ages 40–70), and children’s term insurance in increments (for example from $2,500 up to a per-child maximum). Level riders are not available on the Accendo Modified plan.",en
¿Qué anexos ofrece Accendo Nivelado para gastos finales?,"Los anexos del plan Nivelado Accendo suelen incluir: beneficio acelerado por fallecimiento (hasta 50% con límites/cargos si califica por enfermedad terminal/crónica/crítica con expectativa de vida de 12 meses o menos), beneficio por muerte accidental (edades típicas 40–70) y seguro temporal para hijos en incrementos (por ejemplo desde $2,500 hasta un máximo por hijo). Los anexos del Nivelado no están disponibles en el plan Modificado Accendo.",es
What is GUL life insurance?,"GUL means Guaranteed Universal Life. It is a type of permanent life insurance designed to stay in force to a chosen age (often 90, 95, 100, or 121) when premiums are paid as required, with less emphasis on cash-value growth than some other universal life designs. Mejor Vida’s Aetna Senior Supplemental appointment is for final expense whole life only (Accendo and Protection Series) — not GUL. Julie may offer GUL through other appointed carriers when it fits a client’s needs.",en
¿Qué es GUL en seguros de vida?,"GUL significa Guaranteed Universal Life (vida universal garantizada). Es un seguro de vida permanente pensado para mantenerse vigente hasta una edad elegida (a menudo 90, 95, 100 o 121) si se pagan las primas requeridas, con menos énfasis en el crecimiento del valor en efectivo que otros diseños de vida universal. La cita de Aetna Senior Supplemental de Mejor Vida es solo para vida entera de gastos finales (Accendo y Protection Series), no GUL. Julie puede ofrecer GUL con otras aseguradoras cuando encaje con el cliente.",es
What is IUL life insurance?,"IUL means Indexed Universal Life. It is a flexible permanent life insurance product whose cash value can be credited based on the performance of a market index, subject to caps, floors, and carrier rules. It is not the same as final expense whole life. Mejor Vida’s Aetna portal life products are final expense whole life only — not IUL.",en
¿Qué es IUL en seguros de vida?,"IUL significa Indexed Universal Life (vida universal indexada). Es un seguro de vida permanente flexible cuyo valor en efectivo puede acreditarse según el rendimiento de un índice de mercado, sujeto a límites, pisos y reglas de la aseguradora. No es lo mismo que la vida entera de gastos finales. Los productos de vida del portal Aetna de Mejor Vida son solo gastos finales — no IUL.",es
